,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
134,SCBFY,Standard Chartered PLC,,27.74 +0.94 (+3.51%),0.94,+3.51%,67778,84083,33.459B,9.25,77.35%,
135,VKTX,"Viking Therapeutics, Inc.",,33.50 +1.13 (+3.49%),1.13,+3.49%,4.65M,3.865M,3.733B,-,28.76%,
136,CVCO,"Cavco Industries, Inc.",,533.84 +17.98 (+3.49%),17.98,+3.49%,68969,61062,4.278B,26.34,48.74%,
137,CALX,"Calix, Inc.",,42.17 +1.42 (+3.48%),1.42,+3.48%,727927,766725,2.797B,-,16.79%,
138,OTEX,Open Text Corporation,,30.39 +1.02 (+3.47%),1.02,+3.47%,566794,675437,8.08B,17.57,-28.77%,
139,LAD,"Lithia Motors, Inc.",,383.22 +12.86 (+3.47%),12.86,+3.47%,222125,333701,10.208B,13.08,26.22%,
140,TSCDY,Tesco PLC,,14.62 +0.49 (+3.47%),0.49,+3.47%,42020,394084,32.639B,14.62,29.40%,
141,TKR,The Timken Company,,81.64 +2.73 (+3.46%),2.73,+3.46%,1.256M,562303,5.724B,16.94,-5.31%,
142,AZTA,"Azenta, Inc.",,53.76 +1.79 (+3.44%),1.79,+3.44%,827675,782916,2.456B,-,-19.92%,
143,VICR,Vicor Corporation,,50.85 +1.69 (+3.44%),1.69,+3.44%,178454,247498,2.295B,508.50,21.66%,
144,CDW,CDW Corporation,,206.13 +6.79 (+3.41%),6.79,+3.41%,3.789M,1.385M,27.47B,25.23,-16.48%,
145,OMF,"OneMain Holdings, Inc.",,56.78 +1.87 (+3.41%),1.87,+3.41%,978622,981837,6.777B,13.39,21.57%,
146,TMDX,"TransMedics Group, Inc.",,74.57 +2.43 (+3.37%),2.43,+3.37%,1.228M,2.064M,2.503B,80.18,-22.01%,
147,HAE,Haemonetics Corporation,,71.24 +2.32 (+3.37%),2.32,+3.37%,1.805M,643669,3.578B,29.56,-14.21%,
148,FLG,"Flagstar Financial, Inc.",,12.29 +0.40 (+3.36%),0.4,+3.36%,6.467M,6.371M,5.1B,-,-13.24%,
149,ATI,ATI Inc.,,65.86 +2.14 (+3.36%),2.14,+3.36%,2.018M,1.392M,9.394B,25.83,44.39%,
150,SPG,"Simon Property Group, Inc.",,179.11 +5.76 (+3.32%),5.76,+3.32%,1.997M,1.433M,67.251B,24.67,20.89%,
151,VCYT,"Veracyte, Inc.",,45.20 +1.45 (+3.31%),1.45,+3.31%,888849,815832,3.503B,-,84.98%,
152,LITE,Lumentum Holdings Inc.,,89.19 +2.86 (+3.31%),2.86,+3.31%,2.805M,1.986M,6.127B,-,43.46%,
153,SMNEY,Siemens Energy AG,,58.32 +1.86 (+3.29%),1.86,+3.29%,21775,473316,46.778B,41.96,264.04%,
154,PCVX,"Vaxcyte, Inc.",,89.34 +2.82 (+3.27%),2.82,+3.27%,817057,1.343M,11.135B,-,15.45%,
155,PAAS,Pan American Silver Corp.,,24.99 +0.79 (+3.26%),0.79,+3.26%,3.993M,3.144M,9.071B,-,80.62%,
156,CMPGY,Compass Group PLC,,35.49 +1.12 (+3.26%),1.12,+3.26%,86904,194694,61.083B,43.28,27.66%,
157,USM,United States Cellular Corporation,,64.52 +2.03 (+3.25%),2.03,+3.25%,97289,128764,5.49B,-,50.37%,
158,MU,"Micron Technology, Inc.",,93.60 +2.94 (+3.24%),2.94,+3.24%,15.097M,23.818M,104.286B,26.82,5.58%,
159,SLM,SLM Corporation,,29.95 +0.94 (+3.24%),0.94,+3.24%,2.742M,2.659M,6.301B,11.18,46.73%,
160,FN,Fabrinet,,213.80 +6.67 (+3.22%),6.67,+3.22%,1.372M,559949,7.695B,23.89,17.30%,
161,OKTA,"Okta, Inc.",,97.45 +3.04 (+3.22%),3.04,+3.22%,2.382M,3.305M,16.699B,-,11.58%,
162,GEV,GE Vernova Inc.,,367.93 +11.40 (+3.20%),11.4,+3.20%,2.771M,3.414M,101.421B,65.70,154.69%,
163,BA,The Boeing Company,,181.84 +5.61 (+3.18%),5.61,+3.18%,6.652M,10.803M,136.393B,-,-17.01%,
164,RRC,Range Resources Corporation,,38.94 +1.20 (+3.18%),1.2,+3.18%,2.519M,2.326M,9.397B,19.47,34.19%,
165,TWST,Twist Bioscience Corporation,,53.66 +1.64 (+3.15%),1.64,+3.15%,917757,852640,3.201B,-,50.84%,
